header_playing,header_performance,header_expected,header_progression,header_per90,player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,header_playing.1,header_performance.1,header_expected.1,header_progression.1,header_per90.1,nationality.1,position.1,age.1,games.1,games_starts.1,minutes.1,minutes_90s.1,goals.1,assists.1,goals_assists.1,goals_pens.1,pens_made.1,pens_att.1,cards_yellow.1,cards_red.1,xg.1,npxg.1,xg_assist.1,npxg_xg_assist.1,progressive_carries.1,progressive_passes.1,progressive_passes_received.1,goals_per90.1,assists_per90.1,goals_assists_per90.1,header_playing.2,header_performance.2,header_expected.2,header_progression.2,header_per90.2,nationality.2,position.2,age.2,games.2,games_starts.2,minutes.2,minutes_90s.2,goals.2,assists.2,goals_assists.2,goals_pens.2,pens_made.2,pens_att.2,cards_yellow.2,cards_red.2,xg.2,npxg.2,xg_assist.2,npxg_xg_assist.2,progressive_carries.2,progressive_passes.2,progressive_passes_received.2,goals_per90.2,assists_per90.2,goals_assists_per90.2,header_playing.3,header_performance.3,header_expected.3,header_progression.3,header_per90.3,nationality.3,position.3,age.3,games.3,games_starts.3,minutes.3,minutes_90s.3,goals.3,assists.3,goals_assists.3,goals_pens.3,pens_made.3,pens_att.3,cards_yellow.3,cards_red.3,xg.3,npxg.3,xg_assist.3,npxg_xg_assist.3,progressive_carries.3,progressive_passes.3,progressive_passes_received.3,goals_per90.3,assists_per90.3,goals_assists_per90.3
DF,22-156,24,23,"1,834",0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,120.0,93.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches
DF,22-156,24,23,"1,834",0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,120.0,93.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches
DF,22-156,24,23,"1,834",0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,120.0,93.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches
DF,22-156,24,23,"1,834",0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,120.0,93.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches
DF,22-156,24,23,"1,834",0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,120.0,93.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches
DF,22-156,24,23,"1,834",0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,120.0,93.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches
DF,22-156,24,23,"1,834",0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,120.0,93.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches
DF,22-156,24,23,"1,834",0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,120.0,93.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches
DF,22-156,24,23,"1,834",0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,120.0,93.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches
DF,22-156,24,23,"1,834",0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,120.0,93.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches
DF,22-156,24,23,"1,834",0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,120.0,93.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches
DF,22-156,24,23,"1,834",0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,120.0,93.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches
DF,22-156,24,23,"1,834",0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,120.0,93.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches
DF,22-156,24,23,"1,834",0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,120.0,93.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches
DF,22-156,24,23,"1,834",0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,54.0,120.0,93.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches,MF,28-161,31.0,21.0,"1,809",7.0,16.0,9.0,0.0,0.0,6.0,0.0,5.8,5.8,4.2,10.0,45.0,164.0,95.0,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,Matches
